epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.066,1.28936,1.88829,1.11017,0.49095,0.44948,0.44523,0.25746,1.26937,1.49374,1.10633,0.000332381,0.000332381,0.0670943
2,1378.17,1.17053,1.17458,1.06492,0.55964,0.54731,0.53109,0.29186,1.24759,1.30879,1.08454,0.000659124,0.000659124,0.0340877
3,2085.29,1.12075,1.01916,1.04254,0.58691,0.54198,0.58582,0.32948,1.26852,1.20869,1.0934,0.000979266,0.000979266,0.0010745
4,2771.14,1.09955,0.96741,1.0368,0.65461,0.60261,0.65345,0.36745,1.33123,1.14742,1.14691,0.0009703,0.0009703,0.0009703
5,3464.68,1.0833,0.89922,1.02642,0.62995,0.61679,0.66262,0.36432,1.29629,1.09973,1.12563,0.0009604,0.0009604,0.0009604
6,4159.9,1.05256,0.85165,1.01203,0.6724,0.63562,0.70863,0.41708,1.22393,1.08768,1.09546,0.0009505,0.0009505,0.0009505
