image,blur,laplacian_var,occlusion_low_contrast,contrast,lighting
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000582.jpg,No,142.73,No,39.60,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000583.jpg,No,2644.44,Yes,26.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000585.jpg,No,554.78,No,63.26,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000587.jpg,No,1152.32,No,39.21,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000588.jpg,No,1292.13,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000589.jpg,No,5969.01,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000590.jpg,No,2672.69,No,46.39,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000591.jpg,No,2644.44,Yes,24.56,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000592.jpg,No,7803.90,No,53.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000593.jpg,No,554.78,No,65.06,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000594.jpg,No,3725.50,No,40.42,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000595.jpg,No,599.80,No,71.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000597.jpg,No,609.12,No,67.30,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000599.jpg,No,552.60,No,76.06,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000600.jpg,No,665.15,No,75.45,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000601.jpg,No,566.19,No,76.90,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000603.jpg,No,812.04,Yes,24.92,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000604.jpg,No,834.75,Yes,24.86,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000605.jpg,No,826.76,Yes,28.41,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000607.jpg,No,827.60,No,37.22,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000608.jpg,No,843.13,No,37.00,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000609.jpg,No,834.35,No,41.68,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000611.jpg,No,818.40,Yes,28.29,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000612.jpg,No,821.42,Yes,27.36,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000615.jpg,No,837.04,No,36.58,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000616.jpg,No,801.65,No,37.93,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000617.jpg,No,820.60,No,35.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000618.jpg,No,810.78,Yes,28.56,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000619.jpg,No,815.88,No,35.73,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000622.jpg,No,822.01,No,37.72,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000624.jpg,No,858.97,Yes,25.99,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000625.jpg,No,818.75,Yes,26.47,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000628.jpg,No,810.30,No,43.39,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000629.jpg,No,778.21,No,37.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000630.jpg,No,839.99,No,39.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000631.jpg,No,809.89,No,37.35,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000633.jpg,No,829.50,No,37.73,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000635.jpg,No,833.80,No,39.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000638.jpg,No,820.36,No,39.45,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000639.jpg,No,865.91,No,41.06,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000640.jpg,No,864.97,No,43.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000641.jpg,No,819.13,No,43.07,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000642.jpg,No,807.85,No,42.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000643.jpg,No,847.90,No,41.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000644.jpg,No,805.97,No,40.33,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000646.jpg,No,840.87,No,40.56,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000647.jpg,No,821.89,No,41.40,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000648.jpg,No,903.31,No,40.95,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000649.jpg,No,836.05,No,42.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000650.jpg,No,850.35,No,41.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000651.jpg,No,850.28,No,42.01,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000652.jpg,No,826.31,No,39.55,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000653.jpg,No,861.78,No,42.49,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000655.jpg,No,288.48,Yes,23.28,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000658.jpg,No,232.12,Yes,19.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000659.jpg,No,280.07,Yes,17.41,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000660.jpg,No,239.51,Yes,26.23,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000661.jpg,No,246.58,Yes,19.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000662.jpg,No,229.91,Yes,18.46,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000665.jpg,No,245.00,Yes,17.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000666.jpg,No,230.05,No,32.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000667.jpg,No,251.00,Yes,19.99,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000668.jpg,No,261.52,Yes,14.92,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000669.jpg,No,243.16,No,35.19,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000670.jpg,No,256.50,No,31.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000671.jpg,No,239.32,Yes,15.40,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000672.jpg,No,279.19,Yes,19.30,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000673.jpg,No,229.91,Yes,21.51,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000674.jpg,No,240.31,Yes,25.80,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000675.jpg,No,230.05,Yes,24.26,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000676.jpg,No,269.43,Yes,20.68,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000677.jpg,No,226.63,Yes,24.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000679.jpg,No,780.19,No,52.55,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000682.jpg,No,841.67,No,49.85,Too Bright
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000684.jpg,No,811.41,No,51.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000686.jpg,No,859.85,No,49.91,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000687.jpg,No,801.09,No,47.84,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000688.jpg,No,783.72,No,46.38,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000689.jpg,No,737.60,No,39.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000690.jpg,No,777.87,No,48.36,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000692.jpg,No,726.53,No,47.99,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000694.jpg,No,725.68,No,45.86,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000696.jpg,No,756.59,No,50.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000697.jpg,No,774.18,No,44.21,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000698.jpg,No,771.86,No,41.59,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000700.jpg,No,775.38,No,46.52,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000701.jpg,No,775.38,No,43.00,Too Bright
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000703.jpg,No,768.80,No,48.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000704.jpg,No,799.79,No,48.33,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000705.jpg,No,741.45,No,54.60,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000711.jpg,No,638.13,No,37.28,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000713.jpg,No,667.79,No,40.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000715.jpg,No,791.69,No,50.46,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000716.jpg,No,791.80,No,48.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000719.jpg,No,698.28,Yes,18.72,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000720.jpg,No,655.59,Yes,15.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000722.jpg,No,633.57,Yes,21.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000725.jpg,No,653.02,Yes,23.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000726.jpg,No,644.79,Yes,20.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000727.jpg,No,683.95,Yes,22.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000728.jpg,No,632.83,No,36.87,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000729.jpg,No,627.52,Yes,21.16,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000730.jpg,No,628.96,No,30.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000731.jpg,No,666.14,Yes,18.00,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000732.jpg,No,666.89,No,32.61,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000733.jpg,No,617.20,Yes,23.10,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000735.jpg,No,635.11,No,31.29,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000736.jpg,No,659.70,No,31.65,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000737.jpg,No,616.18,No,34.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000740.jpg,No,672.13,Yes,21.21,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000741.jpg,No,625.78,No,32.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000742.jpg,No,653.43,No,36.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000744.jpg,No,633.55,No,34.86,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000745.jpg,No,657.04,Yes,28.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000746.jpg,No,626.66,No,35.25,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000747.jpg,No,635.09,Yes,29.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000748.jpg,No,624.09,No,30.13,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000749.jpg,No,662.17,No,34.62,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000750.jpg,No,611.33,Yes,28.68,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000753.jpg,No,696.09,No,31.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000754.jpg,No,644.20,No,30.74,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000755.jpg,No,643.64,No,35.65,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000758.jpg,No,697.97,Yes,18.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000761.jpg,No,203.93,No,37.17,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000763.jpg,No,132.91,Yes,24.50,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000765.jpg,No,135.02,No,31.00,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000766.jpg,No,139.20,Yes,28.11,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000767.jpg,No,128.38,Yes,23.41,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000768.jpg,No,141.48,Yes,25.27,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000769.jpg,No,127.02,Yes,27.35,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000771.jpg,No,137.21,Yes,27.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000772.jpg,No,206.33,Yes,27.24,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000773.jpg,No,164.81,No,31.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000775.jpg,No,150.67,Yes,28.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000776.jpg,No,145.03,Yes,26.84,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000777.jpg,No,182.91,No,37.80,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000778.jpg,No,160.78,Yes,29.79,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000781.jpg,No,209.62,No,41.38,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000782.jpg,No,174.73,No,30.79,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000783.jpg,No,174.09,Yes,23.61,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000784.jpg,No,175.99,No,41.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000785.jpg,No,167.14,No,31.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000786.jpg,No,189.81,No,30.91,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000787.jpg,No,149.72,No,33.82,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000788.jpg,No,146.51,No,31.16,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000789.jpg,No,134.02,Yes,27.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000790.jpg,No,147.55,No,31.21,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000791.jpg,No,123.62,No,37.97,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000795.jpg,No,138.99,No,39.31,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000797.jpg,No,157.05,Yes,22.57,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000799.jpg,No,166.65,Yes,24.56,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000800.jpg,No,137.50,Yes,26.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000801.jpg,No,609.53,No,35.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000804.jpg,No,551.30,No,56.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000805.jpg,No,575.80,No,78.86,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000806.jpg,No,552.75,No,71.38,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000807.jpg,No,550.95,No,78.85,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000808.jpg,No,536.37,No,34.63,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000810.jpg,No,532.90,No,35.99,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000812.jpg,No,520.71,No,39.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000814.jpg,No,544.40,No,41.88,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000815.jpg,No,520.90,No,38.22,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000817.jpg,No,519.66,No,40.33,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000819.jpg,No,517.75,No,43.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000821.jpg,No,515.66,No,39.53,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000822.jpg,No,532.74,No,37.92,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000824.jpg,No,562.85,No,41.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000826.jpg,No,596.83,No,45.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000827.jpg,No,557.32,No,42.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000828.jpg,No,569.75,No,79.76,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000829.jpg,No,564.14,No,63.35,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000830.jpg,No,587.92,No,70.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000831.jpg,No,554.25,No,77.24,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000832.jpg,No,1238.98,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000833.jpg,No,1067.33,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000836.jpg,No,1090.98,Yes,21.72,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000838.jpg,No,1022.39,Yes,17.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000841.jpg,No,1017.44,No,33.65,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000842.jpg,No,1039.16,No,34.11,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000844.jpg,No,1102.11,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000847.jpg,No,1091.04,No,30.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000848.jpg,No,1050.58,No,30.52,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000849.jpg,No,1150.14,No,38.49,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000850.jpg,No,1104.70,No,43.21,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000851.jpg,No,1098.39,No,34.28,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000852.jpg,No,1084.51,No,46.57,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000853.jpg,No,1155.22,No,46.22,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000854.jpg,No,1088.11,No,36.58,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000855.jpg,No,1065.46,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000856.jpg,No,1107.97,No,47.27,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000857.jpg,No,1096.09,No,45.59,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000858.jpg,No,1180.91,No,40.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000860.jpg,No,1146.16,No,57.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000862.jpg,No,1189.08,No,54.59,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000865.jpg,No,1101.47,No,50.01,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000867.jpg,No,1136.82,No,58.34,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000868.jpg,No,1039.22,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000869.jpg,No,1039.91,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000871.jpg,No,1117.64,No,33.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000872.jpg,No,1068.00,No,32.54,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000873.jpg,No,658.71,Yes,7.78,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000874.jpg,No,604.82,Yes,8.42,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000875.jpg,No,537.94,Yes,23.38,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000876.jpg,No,540.71,Yes,16.90,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000878.jpg,No,574.63,Yes,25.20,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000879.jpg,No,615.68,Yes,20.49,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000881.jpg,No,679.47,No,30.52,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000882.jpg,No,642.53,Yes,23.16,Good
