epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,944.427,0.88571,0.51862,1.06683,0.91639,0.88376,0.9467,0.68276,1.00738,0.54357,1.15876,0.000414222,0.000414222,0.000414222
43,966.679,0.88555,0.51517,1.07188,0.91606,0.91246,0.94997,0.69897,0.97636,0.52157,1.13996,0.000410262,0.000410262,0.000410262
44,988.889,0.89772,0.52234,1.07845,0.93566,0.88133,0.94523,0.68478,0.99739,0.52742,1.1464,0.000406234,0.000406234,0.000406234
45,1011.06,0.88833,0.51528,1.05993,0.91711,0.91649,0.94676,0.6873,0.98728,0.51201,1.13206,0.000402138,0.000402138,0.000402138
46,1033.28,0.87401,0.50986,1.06095,0.91189,0.89253,0.94816,0.66502,1.1109,0.53086,1.21155,0.000397977,0.000397977,0.000397977
47,1055.39,0.86581,0.50123,1.06135,0.93697,0.91334,0.95918,0.70057,0.98957,0.50808,1.13758,0.000393752,0.000393752,0.000393752
48,1077.45,0.87261,0.50107,1.05846,0.93262,0.91834,0.96408,0.72224,0.92695,0.48077,1.10134,0.000389464,0.000389464,0.000389464
49,1099.68,0.86035,0.4985,1.05809,0.92418,0.94258,0.96212,0.69257,1.03411,0.49394,1.17704,0.000385117,0.000385117,0.000385117
50,1121.92,0.86932,0.50929,1.06025,0.94381,0.92656,0.96258,0.7169,0.94394,0.48293,1.11114,0.000380712,0.000380712,0.000380712
51,1144.18,0.86716,0.51296,1.05828,0.92225,0.90698,0.95375,0.70723,0.94708,0.48494,1.10936,0.00037625,0.00037625,0.00037625
52,1166.37,0.84465,0.48054,1.04421,0.93881,0.92535,0.96213,0.71501,0.96003,0.45931,1.11801,0.000371734,0.000371734,0.000371734
